id,txt
A0A0A0MT89,IGKJ1 (KJ01) | A0A0A0MT89
A0A0A0MT94,TRBJ2-2 (TJB22) | A0A0A0MT94
A0A0A0MTA4,TRBJ2-5 (TJB25) | A0A0A0MTA4
A0A0A0MTA7,TRBJ2-1 (TJB21) | A0A0A0MTA7
A0A0A6YYC5,TRAV14DV4 (TVA14) | A0A0A6YYC5
A0A0A6YYD4,TRBV13 (TVB13) | A0A0A6YYD4
A0A0A6YYG2,TRBV6-6 (TVB66) | A0A0A6YYG2
A0A0A6YYG3,TRBV6-8 (TVB68) | A0A0A6YYG3
A0A0A6YYJ7,TRAV8-3 (TVA83) | A0A0A6YYJ7
A0A0A6YYK1,TRAV8-1 (TVA81) | A0A0A6YYK1
A0A0A6YYK4,TRBV7-1 (TVB71) | A0A0A6YYK4
A0A0A6YYK6,TRAV16 (TVA16) | A0A0A6YYK6
A0A0A6YYK7,TRAV19 (TVA19) | A0A0A6YYK7
A0A0A6YYL3,POTEB (POTEB) | A0A0A6YYL3
A0A0B4J1U3,IGLV1-36 (LV136) | A0A0B4J1U3
A0A0B4J1U4,TRGV5 (TRGV5) | A0A0B4J1U4
A0A0B4J1U6,TRBV9 (TVB9) | A0A0B4J1U6
A0A0B4J1U7,IGHV6-1 (HV601) | A0A0B4J1U7
A0A0B4J1V0,IGHV3-15 (HV315) | A0A0B4J1V0
A0A0B4J1V1,IGHV3-21 (HV321) | A0A0B4J1V1
A0A0B4J1V2,IGHV2-26 (HV226) | A0A0B4J1V2
A0A0B4J1V6,IGHV3-73 (HV373) | A0A0B4J1V6
A0A0B4J1V7,IGHV7-81 (HV781) | A0A0B4J1V7
A0A0B4J1X5,IGHV3-74 (HV374) | A0A0B4J1X5
A0A0B4J1X8,IGHV3-43 (HV343) | A0A0B4J1X8
A0A0B4J1Y8,IGLV9-49 (LV949) | A0A0B4J1Y8
A0A0B4J1Y9,IGHV3-72 (HV372) | A0A0B4J1Y9
A0A0B4J1Z2,IGKV1D-43 (KVD43) | A0A0B4J1Z2
A0A0B4J200,TRBJ2-3 (TJB23) | A0A0B4J200
A0A0B4J234,TRAV2 (TVA2) | A0A0B4J234
A0A0B4J235,TRAV13-2 (TVAM2) | A0A0B4J235
A0A0B4J237,TRAV8-2 (TVA82) | A0A0B4J237
A0A0B4J238,TRAV1-2 (TVA12) | A0A0B4J238
A0A0B4J240,TRAV10 (TVA10) | A0A0B4J240
A0A0B4J241,TRAV13-1 (TVAM1) | A0A0B4J241
A0A0B4J244,TRAV3 (TVA3) | A0A0B4J244
A0A0B4J245,TRAV12-1 (TVAL1) | A0A0B4J245
A0A0B4J248,TRAV1-1 (TVA11) | A0A0B4J248
A0A0B4J249,TRAV5 (TVA5) | A0A0B4J249
A0A0B4J262,TRAV8-6 (TVA86) | A0A0B4J262
A0A0B4J263,TRAV39 (TVA39) | A0A0B4J263
A0A0B4J264,TRAV38-1 (TV381) | A0A0B4J264
A0A0B4J265,TRAV26-2 (TVAZ2) | A0A0B4J265
A0A0B4J266,TRAV41 (TVA41) | A0A0B4J266
A0A0B4J268,TRAV4 (TVA4) | A0A0B4J268
A0A0B4J271,TRAV12-3 (TVAL3) | A0A0B4J271
A0A0B4J272,TRAV24 (TVA24) | A0A0B4J272
